symbol,timestamp,open,high,low,close,volume
NSE:NIFTY24OCT24200PE,2024-10-25 09:15:00,66.7,82,66.7,81.05,222400
NSE:NIFTY24OCT24200PE,2024-10-25 09:16:00,80.3,85.85,80.1,84.25,260225
NSE:NIFTY24OCT24200PE,2024-10-25 09:17:00,84.15,87.25,78.65,79.35,161750
NSE:NIFTY24OCT24200PE,2024-10-25 09:18:00,79.8,80.95,72.85,74.8,190300
NSE:NIFTY24OCT24200PE,2024-10-25 09:19:00,75.7,79.35,74.85,79.25,129800
NSE:NIFTY24OCT24200PE,2024-10-25 09:20:00,79.8,81.55,78.4,79.35,179675
NSE:NIFTY24OCT24200PE,2024-10-25 09:21:00,79.3,81.9,78.9,81.9,113800
NSE:NIFTY24OCT24200PE,2024-10-25 09:22:00,82.45,85,80.35,85,144100
NSE:NIFTY24OCT24200PE,2024-10-25 09:23:00,84.55,85.6,78.8,81.4,131250
NSE:NIFTY24OCT24200PE,2024-10-25 09:24:00,81.45,84.8,81.4,83.2,133525
NSE:NIFTY24OCT24200PE,2024-10-25 09:25:00,82.75,83.2,77.1,78.6,143875
NSE:NIFTY24OCT24200PE,2024-10-25 09:26:00,77.8,78,74.6,77,116975
NSE:NIFTY24OCT24200PE,2024-10-25 09:27:00,77.3,78.2,70.25,72.1,216650
NSE:NIFTY24OCT24200PE,2024-10-25 09:28:00,72.5,74.4,70.9,71.65,140800
NSE:NIFTY24OCT24200PE,2024-10-25 09:29:00,71.55,72.1,68.2,68.8,174525
NSE:NIFTY24OCT24200PE,2024-10-25 09:30:00,69.25,73.15,68.3,72.3,136700
NSE:NIFTY24OCT24200PE,2024-10-25 09:31:00,72.55,83.7,72.55,80.3,273225
NSE:NIFTY24OCT24200PE,2024-10-25 09:32:00,80.1,84.5,77.5,78,185700
NSE:NIFTY24OCT24200PE,2024-10-25 09:33:00,78.95,79.65,73.9,79.45,161700
NSE:NIFTY24OCT24200PE,2024-10-25 09:34:00,79,84.5,79,83.3,169650
NSE:NIFTY24OCT24200PE,2024-10-25 09:35:00,83.7,89.7,81.15,82.05,212975
NSE:NIFTY24OCT24200PE,2024-10-25 09:36:00,81.75,85.85,78.45,85.85,163450
NSE:NIFTY24OCT24200PE,2024-10-25 09:37:00,87.55,95,86.3,92.55,403150
NSE:NIFTY24OCT24200PE,2024-10-25 09:38:00,93,99,92.65,95.6,432925
NSE:NIFTY24OCT24200PE,2024-10-25 09:39:00,95.45,105.9,95.45,103.4,495225
NSE:NIFTY24OCT24200PE,2024-10-25 09:40:00,104.55,113.4,103.95,108.2,686475
NSE:NIFTY24OCT24200PE,2024-10-25 09:41:00,108.55,110.1,99.65,102.85,399675
NSE:NIFTY24OCT24200PE,2024-10-25 09:42:00,101.9,107.65,101.55,103.75,197250
NSE:NIFTY24OCT24200PE,2024-10-25 09:43:00,105.05,117.15,103.6,117.15,439975
NSE:NIFTY24OCT24200PE,2024-10-25 09:44:00,116.9,118,107,107.45,293325
NSE:NIFTY24OCT24200PE,2024-10-25 09:45:00,108.4,113.65,97.15,98.55,384350
NSE:NIFTY24OCT24200PE,2024-10-25 09:46:00,99.6,109.6,99.5,109.4,272550
NSE:NIFTY24OCT24200PE,2024-10-25 09:47:00,108.95,115.65,108.6,113.3,402950
NSE:NIFTY24OCT24200PE,2024-10-25 09:48:00,113.45,121.85,111.2,116.4,361600
NSE:NIFTY24OCT24200PE,2024-10-25 09:49:00,114.45,121.9,114.15,120.8,353525
NSE:NIFTY24OCT24200PE,2024-10-25 09:50:00,122.4,133.85,119.85,130,641050
NSE:NIFTY24OCT24200PE,2024-10-25 09:51:00,132.4,137.35,114.7,120,443525
NSE:NIFTY24OCT24200PE,2024-10-25 09:52:00,119.9,129.7,119.85,128.15,265775
NSE:NIFTY24OCT24200PE,2024-10-25 09:53:00,128.65,136,128.55,132.6,411550
NSE:NIFTY24OCT24200PE,2024-10-25 09:54:00,133.25,134.7,126.55,132.2,355575
NSE:NIFTY24OCT24200PE,2024-10-25 09:55:00,133.65,135.35,127.25,128.7,365500
NSE:NIFTY24OCT24200PE,2024-10-25 09:56:00,128.6,133,122.95,129.7,263950
NSE:NIFTY24OCT24200PE,2024-10-25 09:57:00,128.9,133.55,126.05,133,192600
NSE:NIFTY24OCT24200PE,2024-10-25 09:58:00,133.1,146.1,133.1,145.5,577125
NSE:NIFTY24OCT24200PE,2024-10-25 09:59:00,147.2,147.75,138.8,143.5,379525
NSE:NIFTY24OCT24200PE,2024-10-25 10:00:00,143.45,144.65,135.2,142.9,306025
NSE:NIFTY24OCT24200PE,2024-10-25 10:01:00,142.35,146.65,136.4,142.95,391425
NSE:NIFTY24OCT24200PE,2024-10-25 10:02:00,144.2,145.65,139.8,140.95,280575
NSE:NIFTY24OCT24200PE,2024-10-25 10:03:00,141.6,142.75,136.15,139,199300
NSE:NIFTY24OCT24200PE,2024-10-25 10:04:00,138.8,141,134,136.85,186875
NSE:NIFTY24OCT24200PE,2024-10-25 10:05:00,137.2,137.5,122.1,127.3,339225
NSE:NIFTY24OCT24200PE,2024-10-25 10:06:00,127.3,139.1,127.25,138.4,220225
NSE:NIFTY24OCT24200PE,2024-10-25 10:07:00,137.85,143.95,136,142.9,300900
NSE:NIFTY24OCT24200PE,2024-10-25 10:08:00,142.95,144.9,136.15,144.35,282275
NSE:NIFTY24OCT24200PE,2024-10-25 10:09:00,144.55,146.55,140.55,145.7,274625
NSE:NIFTY24OCT24200PE,2024-10-25 10:10:00,144.25,144.75,137.55,143.55,302625
NSE:NIFTY24OCT24200PE,2024-10-25 10:11:00,143.9,150,141.3,145.4,412650
NSE:NIFTY24OCT24200PE,2024-10-25 10:12:00,144.75,145.8,137.6,139.9,276500
NSE:NIFTY24OCT24200PE,2024-10-25 10:13:00,140.7,144.85,140.55,144.05,187475
NSE:NIFTY24OCT24200PE,2024-10-25 10:14:00,144.9,146,141,143.95,251575
NSE:NIFTY24OCT24200PE,2024-10-25 10:15:00,142.9,147.95,142.35,146.3,285375
NSE:NIFTY24OCT24200PE,2024-10-25 10:16:00,147.2,147.85,138.55,140.6,315350
NSE:NIFTY24OCT24200PE,2024-10-25 10:17:00,140.5,143,139.4,140.3,143375
NSE:NIFTY24OCT24200PE,2024-10-25 10:18:00,140,141.95,132.7,136.4,234950
NSE:NIFTY24OCT24200PE,2024-10-25 10:19:00,135.6,142,133.05,140.95,212225
NSE:NIFTY24OCT24200PE,2024-10-25 10:20:00,140.7,140.8,130.9,138,199775
NSE:NIFTY24OCT24200PE,2024-10-25 10:21:00,138.45,138.45,128.25,132.8,262450
NSE:NIFTY24OCT24200PE,2024-10-25 10:22:00,132.5,135.15,129.45,132.1,135350
NSE:NIFTY24OCT24200PE,2024-10-25 10:23:00,131.9,132.55,127.05,128.95,164575
NSE:NIFTY24OCT24200PE,2024-10-25 10:24:00,129,135.85,128.7,134.6,174400
NSE:NIFTY24OCT24200PE,2024-10-25 10:25:00,135.05,139.15,131.95,138.05,192250
NSE:NIFTY24OCT24200PE,2024-10-25 10:26:00,137.35,146,136.65,144.4,421975
NSE:NIFTY24OCT24200PE,2024-10-25 10:27:00,144.7,149.65,143.35,147.95,476950
NSE:NIFTY24OCT24200PE,2024-10-25 10:28:00,148.8,152.85,148.8,150.75,487150
NSE:NIFTY24OCT24200PE,2024-10-25 10:29:00,151.2,153.75,148.15,153.75,446825
NSE:NIFTY24OCT24200PE,2024-10-25 10:30:00,152.65,158.15,150.1,151.8,598875
